ID,NAME,OTHER_NAMES,URL,SCHOOL,COUNTRY,BIG_BOARD_RANK,BIG_BOARD_RANK_t
1642859,Jase Richardson,Jase Richardson,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5239561.png&w=350&h=254,Michigan State,USA,16,#16
1642860,Will Riley,Will Riley,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5144126.png,Illinois,Canada,22,#22
1642913,Michael Ruzic,Michael Ružić,,Joventut,France,53,#53
1642282,Hunter Sallis,Hunter Sallis,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433281.png,Wake Forest,USA,49,#49
1642920,Kobe Sanders,Kobe Sanders,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702352.png,Nevada,USA,61,#61+
1641813,Mark Sears,Mark Sears,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703530.png,Alabama,USA,61,#61+
1642917,Max Shulga,Max Shulga,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701992.png,Virginia Commonwealth,Ukraine,61,#61+
1642914,Javon Small,Javon Small,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4781746.png,West Virginia,USA,61,#61+
1642850,Thomas Sorber,Thomas Sorber,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5061603.png&w=350&h=254,Georgetown,USA,18,#18
1642876,Adou Thiero,Adou Thiero,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5060631.png,Arkansas,USA,33,#33
1642910,John Tonje,John Tonje,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4593043.png,Wisconsin,USA,54,#54
1642893,Alex Toohey,Alex Toohey,https://www.proballers.com/media/cache/resize_600_png/https---www.proballers.com/ul/player/alex-toohey2-1ef89983-4c30-6bbc-bf42-5d16cb2d8c4c.png,Sydney Kings,Australia,40,#40
1642870,Milos Uzan,Milos Uzan,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106272.png,Houston,USA,55,#55
1642364,Jamir Watkins,Jamir Watkins,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4606840.png,Florida State,USA,51,#51
1642924,Brice Williams,Brice Williams,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592843.png&w=350&h=254,Nebraska,USA,61,#61+
1642963,Darrion Williams,Darrion Williams,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4937074.png&w=350&h=254,Texas Tech,USA,61,#61+
1642874,Danny Wolf,Danny Wolf,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107173.png,Michigan,USA,21,#21
1642905,Hansen Yang,Hansen Yang,,Qingdao,China,46,#46
1642911,Rocco Zikarsky,Rocco Zikarsky,,Brisbane Bullets,Australia,45,#45
